loss,accuracy,val_loss,val_accuracy
0.9294165968894958,0.5424713492393494,0.6836954951286316,0.5615434050559998
0.6841116547584534,0.5630258917808533,0.6812067627906799,0.5801746845245361
0.6762154698371887,0.5822581648826599,0.6659859418869019,0.600568950176239
0.6702974438667297,0.5933969020843506,0.6605161428451538,0.615273654460907
0.6116794943809509,0.6519753336906433,0.20200157165527344,0.9317253232002258
0.2051885575056076,0.934650182723999,0.18607878684997559,0.9427438378334045
0.18341141939163208,0.9431845545768738,0.16873176395893097,0.9446670413017273
0.17510390281677246,0.9443064332008362,0.161568745970726,0.9481528997421265
0.17363548278808594,0.9450276494026184,0.16889823973178864,0.9478724002838135
0.16981342434883118,0.9472313523292542,0.1538631021976471,0.9513582587242126
0.1725970357656479,0.9461495280265808,0.16523167490959167,0.9493148326873779
0.16857299208641052,0.9486737847328186,0.16364355385303497,0.9464700818061829
